SKU,Name,Location,City/Town,TCP,Floor_Area
CD65F2D2FC46CBCPH,AVIANA,"Imus Blvd. Bucandala IV, Imus",Imus,6146000,30.77
CD65F2D2FCAA7F9PH,AVIANA,"Imus Blvd. Bucandala IV, Imus",Imus,4555000,23.76
CD65F2D2FB8DF2CPH,AVIANA,"Imus Blvd. Bucandala IV, Imus",Imus,5916000,30.36
CD65E54678E5B3FPH,AVIANA,"Imus Blvd. Bucandala IV, Imus",Imus,4369000,23.76
CD65F2D2FB252F2PH,AVIANA,"Imus Blvd. Bucandala IV, Imus",Imus,6033000,30.77
CD5F6C191E83C06PH,SERIN EAST TAGAYTAY,"Diversion Rd., Brgy. Silang Crossing East Silang Junction North, Tagaytay",Tagaytay,4469640,23
CD6503D3F0D82CCPH,GARDEN CITY,"Las Piñas Talaba, Diversion Road Zapote III, Bacoor",Bacoor,5262522,37.93
CD657002BBD964APH,GARDEN CITY,"Las Piñas Talaba, Diversion Road Zapote III, Bacoor",Bacoor,9951952,71.57
,0,,,0,0
CD6614A37C19250PH,SERIN EAST TAGAYTAY,"Brgy. Silang Crossing East, Tagaytay, Cavite Mendez Crossing East, Tagaytay",Tagaytay,7392857,39.7
CD64A04C394643FPH,GREEN 2 RESIDENCES,"Burol, Dasmariñas",Dasmariñas,3593841,18.98
CD6191C21CD16A1PH,ALEA RESIDENCES,"Zapote III, Bacoor",Bacoor,5700000,71.5
CD664C145B80E04PH,THE ONE TAGAYTAY,"Sungay North-West, Tagaytay",Tagaytay,2600000,24
CD669E00EF15189PH,WIND RESIDENCES,"Maharlika West, Tagaytay",Tagaytay,6000000,34
CD665B12458372BPH,SERIN EAST TAGAYTAY,"Silang Junction North, Tagaytay",Tagaytay,7200000,39.7
CD6635E902EF8DEPH,ALPINE VILLAS,"Iruhin East, Tagaytay",Tagaytay,24370000,68.44
CD65E5815315D46PH,CROSSWINDS,"Iruhin South, Tagaytay",Tagaytay,9200000,83
CD65C06D9D04C10PH,LA BELLA TAGAYTAY,"Neogan, Tagaytay",Tagaytay,1876500,14
CD668B92A003829PH,LAKEVIEW SUITES,"5705 Calamba Road, Barangay Iruhin West, Tagaytay City, 4120 Philippines Iruhin South, Tagaytay",Tagaytay,21000000,144
CD663B5CA88A44FPH,LAMORE AT MICARA ESTATES,"Sahud Ulan, Tanza",Tanza,2400000,28
CD668B93B0297E6PH,LAKEVIEW SUITES,"5705 Calamba Road, Barangay Iruhin West, Tagaytay City, 4120 Philippines Iruhin South, Tagaytay",Tagaytay,21000000,144
CD64B2430093612PH,THE WOODRIDGE AT TAGAYTAY HIGHLANDS,"Calabuso, Tagaytay City, Calabarzon, Philippines Calabuso, Tagaytay",Tagaytay,30000000,212
CD651B7C85E017BPH,WESTWIND AT LANCASTER NEW CITY,"Navarro, General Trias",General Trias,3600000,23.8
CD663C89D6242CDPH,WOODRIDGE PLACE AT TAGAYTAY HIGHLANDS,"Calabuso, Tagaytay",Tagaytay,32000000,257
CD65FA62CEE7976PH,WOODRIDGE PLACE AT TAGAYTAY HIGHLANDS,"Tagaytay Calamba Rd, 4120 Tagaytay City, Philippines Calabuso, Tagaytay",Tagaytay,39500000,147.93
HO5F3214BC0896BPH,AMARIS HOMES - BACOOR,"Molino IV, Bacoor",Bacoor,3200000,120
CD66614E0CA448CPH,HORIZON TERRACES,"Tagaytay Highlands Iruhin East, Tagaytay",Tagaytay,9000000,43.93
CD64E425B1B8A49PH,HOPE RESIDENCES,"San Agustin, Trece Martires",Trece Martires,3588000,28.52
CD63BD57F1C8EB7PH,WIND RESIDENCES,"Maharlika West, Tagaytay",Tagaytay,3993000,26.62
CD667D3E4DD5CA2PH,ONE LANCASTER PARK,"Alapan II-A, Imus",Imus,3000000,30
CD66A6B28109D80PH,WESTWIND AT LANCASTER NEW CITYY,"Navarro, General Trias",General Trias,3297440,30.1
CD66A227602B3B6PH,SENTRIA STOREY VERMOSA,"Pasong Buaya II, Imus",Imus,8332125,0
CD66A9F61674D52PH,SERIN EAST TAGAYTAY,"Serin East Tagaytay, Silang Junction North, Tagaytay, Cavite, Philippines Silang Junction North, Tagaytay",Tagaytay,9089770,40
CD66A9492B5BF91PH,0,"Serin East Tagaytay, Silang Junction North, Tagaytay, Cavite, Philippines Silang Junction North, Tagaytay",Tagaytay,5709594,23
CD64D8A7A826E3APH,KASA LUNTIAN,"Condo unit for sale at Kasa Luntian by Alveo Land Tagaytay City Cavite San Jose, Tagaytay",Tagaytay,8000000,40
CD65C9CAC928BDAPH,WIND RESIDENCES,"Unit 2025, 20/F, Tower 4, Wind Residences Condominium, Tagaytay - Nasugbu Road, Brgy. Maharlika West, Tagaytay City, Cavite (With Parking Slot) Maharlika West, Tagaytay",Tagaytay,5995500,31.97
CD66A21E6C53612PH,0,"Pasong Buaya I, Imus",Imus,5605966,0
CD66A94382EE62DPH,SENTRIA STOREY VERMOSA,"Brgy. Pasong Buaya II, Imus City, Cavite Pasong Buaya II, Imus",Imus,8966060,26
CD65E43ED335C4FPH,SERIN EAST TAGAYTAY,"Silang Junction North, Tagaytay",Tagaytay,11562800,47
CD629AF734E914FPH,TERRACES AT TRADIZO,"Anabu II-A, Imus",Imus,3300000,44
CD65C9EB73B52DCPH,WIND RESIDENCES,"Maharlika West, Tagaytay",Tagaytay,6500000,41.71
CD63BD57F06E2BBPH,WIND RESIDENCES,"Maharlika West, Tagaytay",Tagaytay,4228500,28.19
CD6561D135A6E07PH,WIND RESIDENCES,"Maharlika West, Tagaytay",Tagaytay,20000000,148
CD64B3E96B6619EPH,ALPINE VILLAS,"Crosswinds Dr, 4120 Tagaytay City, Philippines Iruhin East, Tagaytay",Tagaytay,23769000,67.92
CD65C9CAC7B62A9PH,SERIN WEST TAGAYTAY,"Unit 914, 9/F, Tower 2, Serin West Tagaytay, Brgy. Silang, Crossing East, Tagaytay City, Cavite (With Parking Slot) (with Authority to Sell Contact: Arnold Aguarin local 34715; aguarin.arnold@bdo.com.ph) Silang Junction South, Tagaytay",Tagaytay,7500000,22.53
CD63BD57F122EA3PH,WIND RESIDENCES,"Maharlika West, Tagaytay",Tagaytay,3993000,26.62
CD66A6877668FF2PH,ZEAL RESIDENCES,"Zeal Residences Brgy. Tejero, General Trias, Cavite Pasong Camachile I, General Trias",General Trias,3191000,24.41
CD665A8DE874F3CPH,LAMORE AT MICARA ESTATES,"Pasong Kawayan I, General Trias",General Trias,2560320,28.38
CD664C3955E5079PH,SERIN EAST TAGAYTAY,"Serin East Tagaytay, Silang Junction North, Tagaytay, Cavite, Philippines Silang Junction North, Tagaytay",Tagaytay,0,45
CD66544BC7E4776PH,0,"San Agustin, Trece Martires",Trece Martires,3075000,0
CD669FA50A3DCEEPH,SERIN EAST TAGAYTAY,"Serin East Tagaytay, Silang Junction North, Tagaytay, Cavite, Philippines Silang Junction North, Tagaytay",Tagaytay,8441737,34.7
CD66888D0E25172PH,THE WOODRIDGE AT TAGAYTAY HIGHLANDS,"Calabuso North, Tagaytay",Tagaytay,32000000,257
CD604229D5A07F7PH,HORIZON TERRACES,"Tagaytay highlands - Brgy.Calabuso Calabuso North, Tagaytay",Tagaytay,15000000,65
CD64B0A15141EC3PH,WIND RESIDENCES,"Tagaytay-Nasugbu Highway, Barangay Maharlika West, Tagaytay City, Cavite Maharlika West, Tagaytay",Tagaytay,7850000,34.81
CD6685D72A7E09EPH,JADE RESIDENCES,"Chino Roces Ave, Makati, Philippines Malagasang I-C, Imus",Imus,6690000,24
CD64FE8AA18DFCFPH,ALPINE VILLAS,"Iruhin East, Tagaytay",Tagaytay,8000000,30.28
CD6624C2E72BDD0PH,HORIZON TERRACES,"Calabuso North, Tagaytay",Tagaytay,7400000,44
CD663A45CBBCE0EPH,KASA LUNTIAN,"The Serviced Residences at Kasa Luntian is along Tagaytay-Calamba Road, San Jose, Tagaytay City, Cavite San Jose, Tagaytay",Tagaytay,10000000,56
CD64A7B4140CB2DPH,ZEAL RESIDENCES,"Tejero, General Trias",General Trias,3154000,24.41
CD6592D77D19BD7PH,WOODRIDGE PLACE AT TAGAYTAY HIGHLANDS,"Calabuso, Tagaytay",Tagaytay,39500000,148
CD65713FD1D9F6APH,HIGHLANDS RESIDENCES,"Calabuso, Tagaytay",Tagaytay,12369280,64.68
CD642410E9B0E75PH,FULLERTON SUITES,"Orchard Drive South Forbes Golf City, Sta Rosa Height Barangay puting Kahoy Silang Cavite, Silang, 4118 Cavite Puting Kahoy, Silang",Silang,2200000,18
CD603CC97701538PH,HORIZON TERRACES,"Calabuso North, Tagaytay",Tagaytay,10000000,35
CD6508C59D5EA26PH,KASA LUNTIAN,"Iruhin South, Tagaytay",Tagaytay,8999999,57
CD6667A6A92F387PH,0,"Iruhin East, Tagaytay",Tagaytay,10100000,0
CD6676E27E4822EPH,SERIN EAST TAGAYTAY,"Silang Junction North, Tagaytay",Tagaytay,5400000,22.7
CD65694B2F0FB61PH,HIGHLANDS RESIDENCES AT TAGAYTAY HIGHLANDS,"Calabuso, Tagaytay",Tagaytay,10000000,67
CD6661BBC2837E6PH,WIND RESIDENCES,"Kaybagal East, Tagaytay",Tagaytay,4000000,28
CD66648CD4B4490PH,ZEAL RESIDENCES,"Brgy. Tejero, General Trias City, Cavite Tejero, General Trias",General Trias,3200000,24.41
CD64DC456F7A344PH,WIND RESIDENCES,"Maharlika East, Tagaytay",Tagaytay,4800000,34
CD62C33271B135DPH,SERIN EAST TAGAYTAY,"Avida Serin Tagaytay Silang Junction North, Tagaytay",Tagaytay,15100000,70
CD6694B5CF52EC3PH,STANFORD SUITES,"South Bldv, South Forbes, Silang Cavite Inchican, Silang",Silang,2200000,18
CD654B11A97BE88PH,WOODRIDGE PLACE AT TAGAYTAY HIGHLANDS,"Calabuso, Tagaytay",Tagaytay,30000000,257.13
CD6678EB3690DFEPH,WOODRIDGE PLACE AT TAGAYTAY HIGHLANDS,"Calabuso, Tagaytay",Tagaytay,32000000,257.44
CD62C335B24CC4EPH,SERIN WEST TAGAYTAY,"Silang Junction South, Tagaytay",Tagaytay,8000000,37
CD665838CD188C7PH,THE GRAND QUARTIER,"Crosswinds Dr, 4120 Tagaytay City, Philippines Iruhin East, Tagaytay",Tagaytay,8000000,30
CD60CD3958DCE58PH,SERIN WEST TAGAYTAY,"Silang Junction South, Tagaytay",Tagaytay,3600000,22
CD6653D9E23A292PH,SUNRISE HOLIDAY MANSION HOTEL,"Buck Estate, Alfonso",Alfonso,2300000,36
CD654EFC898693FPH,WESTWIND AT LANCASTER NEW CITY,"Navarro, General Trias",General Trias,2500000,30.1
CD62C338BC37D16PH,SERIN WEST TAGAYTAY,"Silang Junction North, Tagaytay",Tagaytay,4637000,23
CD65FFF6D5F3EFCPH,CROSSWINDS,"Iruhin East, Tagaytay",Tagaytay,6000000,48
CD665D4D0F79D04PH,TAGAYTAY PRIME RESIDENCES,"San Jose, Tagaytay",Tagaytay,2550000,25.4
CD64ADF98455D16PH,THE WOODRIDGE AT TAGAYTAY HIGHLANDS,"The Woodridge Place, Tagaytay, Cavite Calabuso, Tagaytay",Tagaytay,30000000,212
CD6649C10CD3F0BPH,AVIANA,"Bucandala IV, Imus",Imus,4200000,23.76
NO938CD54WYRINTRESPH,SERIN EAST TAGAYTAY,"Silang Junction North, Tagaytay",Tagaytay,12000000,61
CD65EADFADEF9C1PH,GREEN 2 RESIDENCES,"8WGW+MWP, Congressional Ave, Dasmariñas, Cavite Burol, Dasmariñas",Dasmariñas,7347000,32
CD66969C941E71BPH,ALEA RESIDENCES,"Zapote III, Bacoor",Bacoor,5900000,63
CD5D13482CC5570PH,STANFORD SUITES,"Stanford Suites, Barangay Inchican, Silang, Cavite Inchican, Silang",Silang,2600000,18
CD5DB7AC716A5B5PH,TAGAYTAY PRIME RESIDENCES,"Philippines, Tagaytay City, San Jose, Tagaytay Calamba Rd San Jose, Tagaytay",Tagaytay,2600000,25
CD66530DC16D913PH,THE WOODRIDGE AT TAGAYTAY HIGHLANDS,"Calabuso, Tagaytay",Tagaytay,32000000,257
CD66320AF0E5DA6PH,SERIN EAST TAGAYTAY,"Silang Junction South, Tagaytay",Tagaytay,0,63
CD6617ECA95DF8FPH,0,"Silang Junction North, Tagaytay",Tagaytay,3900000,24
CD6086948AF2AA2PH,PINE SUITES TAGAYTAY,"Maitim 2nd West, Tagaytay",Tagaytay,6900000,51
CD63D7754B20347PH,SERIN EAST TAGAYTAY,"Silang Junction North, Tagaytay",Tagaytay,0,22.7
CD667EDBFAC6FB3PH,SERIN WEST TAGAYTAY,"Sungay South-East, Tagaytay",Tagaytay,8500000,36
CD665EBD911597FPH,TAGAYTAY PRIME RESIDENCES,"San Jose, Tagaytay",Tagaytay,2600000,26
CD66657690B5B5FPH,HORIZON TERRACES,"tagaytay highlands Calabuso North, Tagaytay",Tagaytay,7500000,35
CD664D7EAC32711PH,KASA LUNTIAN,"San Jose, Tagaytay",Tagaytay,7600000,55
CD65A4E5E77AFDCPH,KASA LUNTIAN,"San Jose, Tagaytay",Tagaytay,5600000,40
CD65798FC6B386DPH,WIND RESIDENCES,"Maharlika West, Tagaytay",Tagaytay,1600000,26
CD66306AEE8DF27PH,WIND RESIDENCES,"E. Aguinaldo Hwy, 4120 Tagaytay City, Philippines Maharlika West, Tagaytay",Tagaytay,3700000,28.64
CD64900F012B4E4PH,SERIN EAST TAGAYTAY,"Silang Junction North, Tagaytay",Tagaytay,14647000,70
CD64900C4C41635PH,SERIN EAST TAGAYTAY,"Serin East Tagaytay, Cavite Silang Junction North, Tagaytay",Tagaytay,7901000,37.1
CD65F2B82A676B4PH,ELIJAH HOTEL AND RESIDENCES,"Salawag, Dasmariñas",Dasmariñas,4723323,24.58
CD6682979C30FFAPH,MILANO,"Bacoor Cavite Mambog I, Bacoor",Bacoor,6793000,30
CD66A8FE1D29131PH,HORIZON TERRACES,"Iruhin South, Tagaytay",Tagaytay,9000000,44
CD6412CF543E809PH,TAGAYTAY PRIME RESIDENCES,"San Jose, Tagaytay",Tagaytay,5500000,42
CD637DBDAC52D53PH,TAGAYTAY PRIME RESIDENCES,"San Jose, Tagaytay",Tagaytay,4500000,34
CD662A5090667D2PH,504,"Neogan, Tagaytay",Tagaytay,5955398,36
CD65EFEE0FADCE9PH,MILANO,"Mambog I, Bacoor",Bacoor,4209000,23.76
CD6638A5BAD7E65PH,ALEA RESIDENCES,"Zapote III, Bacoor",Bacoor,7500000,54
CD65B2ED7A34661PH,WOODHILLS RESIDENCES AT TAGAYTAY TROPICAL GARDENS,"Patutong Malaki South, Tagaytay",Tagaytay,3732066,31.98
CD65829817ADB6DPH,WIND RESIDENCES,"Maharlika West, Tagaytay",Tagaytay,3600000,26
CD66A91E4768049PH,LA CASSIA AT MAPLE GROVE,General Trias,,6883000,26
CD65C9762AB665FPH,WESTWIND AT LANCASTER NEW CITY,"Navarro, General Trias",General Trias,0,36.4
CD65C977E8165FDPH,WESTWIND AT LANCASTER NEW CITY,"Navarro, General Trias",General Trias,0,55.5
CD5C8B85B8E3D00PH,TAGAYTAY PRIME RESIDENCES,"San Jose, Tagaytay",Tagaytay,6500000,38
CD6568299315D44PH,SERIN EAST TAGAYTAY,"Serin East Tagaytay crossing East near Serin Mall Tagaytay Mendez Crossing East, Tagaytay",Tagaytay,8000000,49.63
CD65C9AE5E1DAFEPH,WIND RESIDENCES,"Asisan, Tagaytay",Tagaytay,3200000,26.62
CD64245BA67E85DPH,COOL SUITES AT WIND RESIDENCES,"Tagaytay City, Calabarzon, Philippines Maharlika West, Tagaytay",Tagaytay,3800000,23.33
CD641C7E451D9BEPH,ONE LANCASTER PARK,"Alapan II-B, Imus",Imus,3600000,45
CD5FB73F3C7F81BPH,TAGAYTAY PRIME RESIDENCES,"San Jose, Tagaytay",Tagaytay,2734691,24
CD669E7E7572CADPH,WIND RESIDENCES,"Wind Residences Aguinaldo Hiway Tagaytay City Maharlika West, Tagaytay",Tagaytay,5500000,34.89
CD6641EA0BA54B6PH,PINE SUITES TAGAYTAY,"Maitim 2nd West, Tagaytay",Tagaytay,10073000,48.38
CD6641EA0D109FCPH,PINE SUITES TAGAYTAY,"Maitim 2nd West, Tagaytay",Tagaytay,10663000,51.79
CD664448D13583APH,ALPINE VILLAS,"Iruhin East, Tagaytay",Tagaytay,11000000,30.12
CD663E49040F411PH,ALTA MONTE LEISURE SUITES-NORTH,"Kaybagal East, Tagaytay",Tagaytay,13490000,123
CD664D60F98DF0APH,THE WELLINGTON COURTYARD,"Kaybagal South, Tagaytay",Tagaytay,9500000,92
CD64842A423A489PH,THE WOODRIDGE AT TAGAYTAY HIGHLANDS,"Calabuso, Tagaytay",Tagaytay,14000000,78
CD666C5FA774F65PH,SERIN EAST TAGAYTAY,"Silang Junction South, Tagaytay",Tagaytay,7700000,30.5
CD65D30A9CC97BAPH,WIND RESIDENCES,"Maharlika West, Tagaytay",Tagaytay,5995500,31.97
CD664447E91551FPH,THE WELLINGTON COURTYARD,"Kaybagal South, Tagaytay",Tagaytay,9500000,92
CD6667E87871D20PH,LEISURE SUITES,"Kaybagal East, Tagaytay",Tagaytay,8450000,76
CD6655BD3BCD4D9PH,SERIN WEST TAGAYTAY,"Silang Junction South, Tagaytay",Tagaytay,9547321,46.4
CD6655C172828CAPH,SERIN WEST TAGAYTAY,"Silang Junction South, Tagaytay",Tagaytay,7950000,34.4
CD667A659AB3FC5PH,THE WELLINGTON COURTYARD,"Kaybagal South, Tagaytay",Tagaytay,9500000,92
CD665061507A0E0PH,GREEN 2 RESIDENCES,"Governor's Drive, Mangubat Avenue (formerly Congressional Road) Burol, Dasmariñas",Dasmariñas,0,31.57
CD65805CA2CF5EFPH,KASA LUNTIAN,"San Jose, Tagaytay",Tagaytay,8250000,55
CD6656CD1C8E81DPH,ALPINE VILLAS,"Crosswinds Dr, 4120 Tagaytay City, Philippines Iruhin East, Tagaytay",Tagaytay,25785000,67
CD621357F795B6DPH,WIND RESIDENCES,"Maharlika West, Tagaytay",Tagaytay,4350000,28.64
CD669756FB26E49PH,THE WELLINGTON COURTYARD,"Kaybagal South, Tagaytay",Tagaytay,9500000,92
CD6697540F5C51BPH,ALPINE VILLAS,"Iruhin East, Tagaytay",Tagaytay,8800000,30.2
CD668BEF0F7CF9FPH,SENTRIA STOREYS VERMOSA,"Pasong Buaya II, Imus",Imus,0,35.8
CD65BCB06310188PH,FORA ROTUNDA TAGAYTAY,"Emilio Aguinaldo Highway East, Silang Junction South, Tagaytay City, Cavite Silang Junction North, Tagaytay",Tagaytay,5589700,32
CD641C1344B74B5PH,THE WOODRIDGE AT TAGAYTAY HIGHLANDS,"The Woodridge in Tagaytay Highlands Calabuso, Tagaytay",Tagaytay,30000000,212.24
CD66627163CCA5EPH,TERRACES AT TRADIZO,"Anabu II-A, Imus",Imus,2573000,20
CD6617A0DB94E8EPH,SCANDIA SUITES,"Inchican, Silang",Silang,4000000,30.25
CD6641EA11079AAPH,PINE SUITES TAGAYTAY,"Maitim 2nd West, Tagaytay",Tagaytay,10073000,48.38
CD6641EA0E8F455PH,PINE SUITES TAGAYTAY,"Maitim 2nd West, Tagaytay",Tagaytay,10073000,48.38
